time,open,high,low,close,volume
2017-07-31 10:00:00,1267.74,1267.84,1265.7,1266.58,1681090
2017-07-31 11:00:00,1266.6,1267.12,1265.93,1266.92,1508288
2017-07-31 12:00:00,1266.9,1267.52,1266.29,1267.5,1025482
2017-07-31 13:00:00,1267.5,1268.06,1266.98,1267.5,632639
2017-07-31 14:00:00,1267.5,1269.21,1267.35,1268.23,859483
2017-07-31 15:00:00,1268.31,1268.94,1266.75,1267.66,1119384
2017-07-31 16:00:00,1267.75,1268.26,1266.42,1267.86,1458136
2017-07-31 17:00:00,1267.91,1269.62,1267.43,1268.83,1905069
2017-07-31 18:00:00,1268.82,1269.73,1267.33,1268.15,1795204
2017-07-31 19:00:00,1268.15,1268.94,1267.45,1267.75,1951184
2017-07-31 20:00:00,1267.75,1267.93,1266.93,1267.3,1617232
2017-07-31 21:00:00,1267.25,1269.93,1267.25,1269.78,1323746
2017-07-31 22:00:00,1269.81,1270.17,1269.13,1269.64,878788
2017-07-31 23:00:00,1269.65,1270.21,1268.59,1269.37,737610
2017-08-01 01:00:00,1269.47,1269.61,1268.79,1269.26,958417
2017-08-01 02:00:00,1269.26,1269.42,1267.33,1267.45,1340851
2017-08-01 03:00:00,1267.42,1269.07,1266.97,1268.64,1705824
2017-08-01 04:00:00,1268.65,1269.17,1267.36,1269.01,1617551
2017-08-01 05:00:00,1269.01,1270.53,1268.61,1269.9,1434404
2017-08-01 06:00:00,1269.89,1269.9,1269.36,1269.5,1288640
2017-08-01 07:00:00,1269.48,1270.66,1268.98,1270.04,1314078
2017-08-01 08:00:00,1270.04,1270.54,1269.54,1269.55,983902
2017-08-01 09:00:00,1269.53,1269.86,1268.06,1268.1,918160
2017-08-01 10:00:00,1268.18,1270.07,1267.96,1269.36,902831
2017-08-01 11:00:00,1269.36,1270.34,1268.26,1268.59,1375671
2017-08-01 12:00:00,1268.59,1268.68,1266.58,1267.4,1243128
2017-08-01 13:00:00,1267.35,1267.76,1264.64,1266.74,1158949
2017-08-01 14:00:00,1266.74,1267.14,1265.81,1265.96,1285034
2017-08-01 15:00:00,1265.96,1267.77,1262.57,1267.34,1941352
2017-08-01 16:00:00,1267.34,1272.07,1266.06,1270.69,2099643
2017-08-01 17:00:00,1270.65,1274.04,1269.89,1272.86,3546507
2017-08-01 18:00:00,1272.86,1273.26,1271.18,1271.62,1005309
2017-08-01 19:00:00,1271.61,1272.9,1271.39,1272.7,1275733
2017-08-01 20:00:00,1272.7,1273.88,1272.23,1272.66,1138202
2017-08-01 21:00:00,1272.66,1272.97,1271.63,1272.14,807972
2017-08-01 22:00:00,1272.14,1272.14,1268.55,1268.87,1284577
2017-08-01 23:00:00,1268.88,1269.58,1268.03,1268.92,566880
2017-08-02 01:00:00,1268.61,1269.57,1268.35,1268.58,775153
2017-08-02 02:00:00,1268.53,1271.0,1266.46,1267.6,1811780
2017-08-02 03:00:00,1267.54,1268.66,1266.97,1267.77,750708
2017-08-02 04:00:00,1267.76,1268.47,1266.04,1266.58,1229240
2017-08-02 05:00:00,1266.59,1266.76,1264.98,1266.68,1544417
2017-08-02 06:00:00,1266.68,1266.68,1265.48,1265.86,1184211
2017-08-02 07:00:00,1265.88,1265.88,1264.09,1265.12,1132822
